x, y, theta, stamp, 
-1.0153956051190827, -1.4946756810072102, -1.5403445578696633, 2224900000000, 
-1.0152352617466638, -1.499939563677493, -1.540343666005511, 2225002000000, 
-1.015129290469927, -1.5034183440559876, -1.5403431200267763, 2225070000000, 
-1.0149717093667407, -1.5085911952598579, -1.5403424490316897, 2225172000000, 
-1.0148157685045782, -1.5137101152129822, -1.540341879855857, 2225274000000, 
-1.0146614492514847, -1.5187757389479692, -1.5403413907946, 2225376000000, 
-1.0145089095593038, -1.523782863468412, -1.5403409886488473, 2225478000000, 
-1.0143581396001444, -1.528731890414796, -1.540340633372495, 2225580000000, 
-1.0142085921620814, -1.5336408031825048, -1.540340363526828, 2225682000000, 
-1.0140606014029254, -1.5384986125779507, -1.5403401256786462, 2225784000000, 
-1.0139141476326867, -1.5433059769947677, -1.540339920006979, 2225886000000, 
-1.0137692104936413, -1.5480636290515732, -1.5403397494620148, 2225988000000, 
-1.013625789563623, -1.552771550131131, -1.540339604910126, 2226090000000, 
-1.013483869111139, -1.5574302793991424, -1.540339480957866, 2226192000000, 
-1.0133434293733106, -1.5620404667144299, -1.5403393783652195, 2226294000000, 
-1.0132044542598824, -1.5666026149556809, -1.5403392872842303, 2226396000000, 
-1.0130669272596333, -1.5711173183204439, -1.5403392099445947, 2226498000000, 
-1.012976040945667, -1.574100921476978, -1.540339142612256, 2226566000000, 
-1.0128408971356824, -1.5785374467215154, -1.5403390757546784, 2226668000000, 
-1.0127071609151737, -1.5829277942810238, -1.5403390131038441, 2226770000000, 
-1.0125748189947719, -1.5872724029017549, -1.5403389468252133, 2226872000000, 
-1.0124440055287263, -1.5915668210366387, -1.54033889119755, 2226974000000, 
-1.012314711588089, -1.5958113752571073, -1.5403388101522617, 2227076000000, 
-1.0121864636871345, -1.6000215669782591, -1.540338766476903, 2227178000000, 
-1.012059549729518, -1.6041879525965101, -1.5403387052678412, 2227280000000, 
-1.0119339528137878, -1.608311113394163, -1.5403386348328774, 2227382000000, 
-1.0118096582764255, -1.6123915212142588, -1.5403385654394774, 2227484000000, 
-1.0116866624409624, -1.6164292783706578, -1.5403384919923968, 2227586000000, 
-1.011564949610762, -1.6204249057469844, -1.5403384178438624, 2227688000000, 
-1.01144450381369, -1.6243789324492297, -1.5403383432077895, 2227790000000, 
-1.0113253133397715, -1.6282917356031255, -1.5403382679216975, 2227892000000, 
-1.011246543396804, -1.6308775950345098, -1.540338209315937, 2227960000000, 
-1.0111294148829344, -1.634722674349153, -1.5403381328342085, 2228062000000, 
-1.011013503798942, -1.6385277806002678, -1.5403380582055686, 2228164000000, 
-1.0108987995351284, -1.6422932378956654, -1.5403379879755765, 2228266000000, 
-1.0107854218803258, -1.6460151273411658, -1.540337930201277, 2228368000000, 
-1.0106733603403724, -1.649693811575938, -1.5403378419038358, 2228470000000, 
-1.010562203888862, -1.653342749442837, -1.540337790967788, 2228572000000, 
-1.0104522030308787, -1.656953766454167, -1.5403377364372943, 2228674000000, 
-1.0103433454382151, -1.6605272257832164, -1.5403376723341486, 2228776000000, 
-1.0102356161515293, -1.664063645483333, -1.540337611728238, 2228878000000, 
-1.0101290105292042, -1.667563158961159, -1.540337552218319, 2228980000000, 
-1.010023517546494, -1.6710261810148155, -1.540337492871141, 2229082000000, 
-1.0099191253769912, -1.6744530535501274, -1.5403374342080358, 2229184000000, 
-1.0098158211507755, -1.67784419677228, -1.5403373735048138, 2229286000000, 
-1.0097135904969115, -1.6812000929338917, -1.5403373146228063, 2229388000000, 
-1.0096124252310084, -1.6845210074326793, -1.5403372510825255, 2229490000000, 
-1.0095455674998968, -1.686715706418211, -1.5403372055021072, 2229558000000, 
-1.0094461524741072, -1.6899791433597715, -1.5403371393233332, 2229660000000, 
-1.0093477715045573, -1.6932086326829507, -1.540337076284886, 2229762000000, 
-1.0092504158169964, -1.6964044462763221, -1.5403370091317574, 2229864000000, 
-1.0091541850047705, -1.699563308133772, -1.5403369475729045, 2229966000000, 
-1.0090590697193333, -1.7026855510130776, -1.5403368651066853, 2230068000000, 
-1.0089647240157538, -1.705782515151874, -1.5403368135627598, 2230170000000, 
-1.0088713610604063, -1.7088472166714819, -1.5403367498775005, 2230272000000, 
-1.008778965565489, -1.7118801633575056, -1.5403366791593016, 2230374000000, 
-1.0086875275321396, -1.7148816690898145, -1.5403366132734753, 2230476000000, 
-1.0085970458443603, -1.7178517716085844, -1.5403365459893223, 2230578000000, 
-1.0085075078108658, -1.720790893199339, -1.540336473449593, 2230680000000, 
-1.008418902127939, -1.7236994074239267, -1.5403364080562818, 2230782000000, 
-1.008331220796433, -1.7265775700164034, -1.5403363414502302, 2230884000000, 
-1.008244451701207, -1.7294257840211824, -1.5403362709795239, 2230986000000, 
-1.0081871072299982, -1.7313081344385057, -1.540336222989542, 2231054000000, 
-1.0081018394492889, -1.7341070658647544, -1.5403361549272199, 2231156000000, 
-1.0080174602332281, -1.7368768250621778, -1.5403360891584432, 2231258000000, 
-1.0079339576979658, -1.7396178001678504, -1.540336028140647, 2231360000000, 
-1.0078514204800386, -1.7423270784520266, -1.5403359686211113, 2231462000000, 
-1.007769843629371, -1.7450048525808883, -1.5403358942658596, 2231564000000, 
-1.0076889253767394, -1.7476609786400708, -1.5403358394432574, 2231666000000, 
-1.00760884658421, -1.750289510086606, -1.5403357868760565, 2231768000000, 
-1.007529601817474, -1.7528907264425344, -1.5403357233293242, 2231870000000, 
-1.0074511782939, -1.7554649409950085, -1.5403356614427195, 2231972000000, 
-1.0073735713894523, -1.7580123386092834, -1.540335601211879, 2232074000000, 
-1.0072967755923223, -1.760533122436707, -1.540335544634374, 2232176000000, 
-1.0072207818029795, -1.7630276101089561, -1.540335485413487, 2232278000000, 
-1.0071455776841585, -1.7654961451324365, -1.5403354245351581, 2232380000000, 
-1.0070711577201816, -1.7679389355002741, -1.5403353686794776, 2232482000000, 
-1.0069975129783022, -1.7703562943554092, -1.540335310987968, 2232584000000, 
-1.006948841639696, -1.7719538922328313, -1.5403352645288335, 2232652000000, 
-1.0068764707298758, -1.7743294263527742, -1.5403352044026073, 2232754000000, 
-1.0068048544017298, -1.7766801707514668, -1.5403351465629675, 2232856000000, 
-1.0067339822306174, -1.779006503007582, -1.5403350888431149, 2232958000000, 
-1.0066642545219575, -1.7812952699947762, -1.5403350377676321, 2233060000000, 
-1.0065950166922855, -1.7835679909631583, -1.54033496915327, 2233162000000, 
-1.0065263361412122, -1.7858223693960087, -1.5403349147689704, 2233264000000, 
-1.0064581344000503, -1.788061033625593, -1.5403348522957725, 2233366000000, 
-1.0063908667341932, -1.7902690440111617, -1.5403347873344826, 2233468000000, 
-1.0063242955293588, -1.7924541762609583, -1.5403347323107401, 2233570000000, 
-1.0062584255894218, -1.7946162851761351, -1.5403346664817665, 2233672000000, 
-1.006193250315014, -1.7967555906442998, -1.540334599183008, 2233774000000, 
-1.0061287496956808, -1.7988727104400044, -1.5403345355514944, 2233876000000, 
-1.0060649204020644, -1.8009678144464214, -1.5403344671062933, 2233978000000, 
-1.0060017567031114, -1.8030410891692048, -1.5403343989637333, 2234080000000, 
