x, y, th, stamp, 
-1.18333101272583, -3.715582847595215, 1.0682064805165186, 1759349338577218461, 
-1.179413914680481, -3.709129571914673, 1.1203214246641204, 1759349338627639421, 
-1.175750970840454, -3.7026591300964355, 1.170036972205429, 1759349338676602242, 
-1.173068642616272, -3.6968994140625, 1.2129442510645054, 1759349338719473125, 
-1.1697487831115723, -3.6878817081451416, 1.2799579855600565, 1759349338786956045, 
-1.1682137250900269, -3.6829674243927, 1.315408006803984, 1759349338820795338, 
-1.1657512187957764, -3.674222707748413, 1.3762742390273595, 1759349338879405006, 
-1.1643532514572144, -3.6668341159820557, 1.4239663297412821, 1759349338928408303, 
-1.1632037162780762, -3.6590781211853027, 1.4736273403509328, 1759349338978420352, 
-1.1626547574996948, -3.651630401611328, 1.5218075896761838, 1759349339026404985, 
-1.1622027158737183, -3.643918037414551, 1.572127846969026, 1759349339076609020, 
-1.1620464324951172, -3.6376867294311523, 1.61483235740021, 1759349339118450024, 
-1.1621497869491577, -3.6301703453063965, 1.6652714108038476, 1759349339168493592, 
-1.16292142868042, -3.622356653213501, 1.7147197859710772, 1759349339219041543, 
-1.1641842126846313, -3.6131255626678467, 1.7738788323609074, 1759349339278414165, 
-1.1657750606536865, -3.605470657348633, 1.822684103511608, 1759349339327388255, 
-1.1677864789962769, -3.5979278087615967, 1.872663950962871, 1759349339377405994, 
-1.170040249824524, -3.5907230377197266, 1.9216354501847046, 1759349339425430199, 
-1.1727404594421387, -3.5832924842834473, 1.9724690977141337, 1759349339475393353, 
-1.17524254322052, -3.577117919921875, 2.0156546780548026, 1759349339518476664, 
-1.1784746646881104, -3.570605516433716, 2.064513611846319, 1759349339568626170, 
-1.1822450160980225, -3.563441276550293, 2.1172188884778502, 1759349339617755277, 
-1.1871856451034546, -3.5551650524139404, 2.179727430527292, 1759349339678763628, 
-1.1916778087615967, -3.548684597015381, 2.2274708198381235, 1759349339727411643, 
-1.1966803073883057, -3.542159080505371, 2.2761436796129164, 1759349339777391260, 
-1.2018507719039917, -3.53583025932312, 2.3283994175380287, 1759349339828423635, 
-1.206756591796875, -3.530369281768799, 2.376376200304633, 1759349339874379888, 
-1.2120161056518555, -3.5252718925476074, 2.4205507948225247, 1759349339918502915, 
-1.2175837755203247, -3.520432472229004, 2.4676637795088396, 1759349339967380571, 
-1.2243235111236572, -3.515063524246216, 2.5179741286837674, 1759349340018592609, 
-1.2321407794952393, -3.509406089782715, 2.577340933169937, 1759349340077747029, 
-1.238993763923645, -3.5050246715545654, 2.627945154758065, 1759349340127416643, 
-1.246125340461731, -3.5010294914245605, 2.6784038219325383, 1759349340177476876, 
-1.2536587715148926, -3.49714994430542, 2.7290106497012165, 1759349340228421483, 
-1.2607007026672363, -3.4940333366394043, 2.7736203017468575, 1759349340273434043, 
-1.2670912742614746, -3.4914157390594482, 2.8192479787137175, 1759349340317417134, 
-1.2752450704574585, -3.488502025604248, 2.8737685443294754, 1759349340367545242, 
-1.283476710319519, -3.4861841201782227, 2.922617910269665, 1759349340417980544, 
-1.2929404973983765, -3.484005928039551, 2.9805133592811957, 1759349340477411827, 
-1.3009282350540161, -3.482736587524414, 3.0307564551806254, 1759349340527416017, 
-1.3092106580734253, -3.481736660003662, 3.0812563956549313, 1759349340577429050, 
-1.3175536394119263, -3.4812304973602295, 3.130375148194174, 1759349340627406739, 
-1.3261624574661255, -3.4809751510620117, -3.1002132842636105, 1759349340679404477, 
-1.3327271938323975, -3.481382131576538, -3.0614447512263205, 1759349340717430282, 
-1.3413426876068115, -3.4817850589752197, -3.0103325925652036, 1759349340768562703, 
-1.3497223854064941, -3.4829351902008057, -2.9617288131953914, 1759349340817682688, 
-1.3599510192871094, -3.484869956970215, -2.901642564618087, 1759349340877631247, 
-1.3680915832519531, -3.486903190612793, -2.8517969123900153, 1759349340927370358, 
-1.3762991428375244, -3.4891533851623535, -2.800534237989203, 1759349340977430869, 
-1.384352445602417, -3.491975784301758, -2.749452809896152, 1759349341027399995, 
-1.3923908472061157, -3.49511981010437, -2.697979223588764, 1759349341077443294, 
-1.3989452123641968, -3.4980435371398926, -2.6567332915928508, 1759349341118433043, 
-1.4061598777770996, -3.501875877380371, -2.608661400184751, 1759349341167467012, 
-1.414277195930481, -3.506706714630127, -2.5576014298814993, 1759349341217721518, 
-1.4236819744110107, -3.5123684406280518, -2.494435754389307, 1759349341278888085, 
-1.4301650524139404, -3.5172998905181885, -2.447246553763608, 1759349341327425271, 
