odom_x, odom_y, odom_th, odom_vx, odom_yawrate, pf_x, pf_y, pf_th, stamp, 
0.1461540013551712, -0.5179452300071716, -1.6161873383008438, 0.043475277092994716, 0.0, 0.35186741072834093, -0.18924569908722347, -1.1926346071320033, 1762985129126538159, 
0.1457754671573639, -0.5224683880805969, -1.6161873383008438, 0.04582243104294622, 0.0, 0.3527711927657838, -0.1995559261398005, -1.2006426072400147, 1762985129227130861, 
0.14533095061779022, -0.5309478640556335, -1.6174796770366469, 0.04358247161274569, -0.02606687881052494, 0.360624664239625, -0.20459484602961106, -1.1978039775671436, 1762985129416242113, 
0.14527510106563568, -0.5357164144515991, -1.6187731733782917, 0.046006107306948686, 0.0, 0.36392016013685213, -0.20603067187189544, -1.2006356646164087, 1762985129525948328, 
0.14518800377845764, -0.5400297045707703, -1.6187731733782917, 0.04028900377828059, 0.0, 0.36603426210301043, -0.22416216781895312, -1.1929253649446667, 1762985129628127783, 
0.14464420080184937, -0.548560380935669, -1.6186112962084631, 0.046399790637432915, 0.0, 0.3710478595860536, -0.24804792821183508, -1.1977613153162587, 1762985129816167107, 
0.14427679777145386, -0.5530041456222534, -1.6186112962084631, 0.04062901856276221, 0.0, 0.37082005578581717, -0.24876457118479284, -1.1985862270714265, 1762985129926503459, 
0.14404462277889252, -0.5572242140769958, -1.6186112962084631, 0.04076854756613997, 0.0, 0.3708630492356379, -0.25471441781172877, -1.205290322468814, 1762985130027131918, 
0.14343595504760742, -0.5649757981300354, -1.6201335359512994, 0.03795813956494083, -0.030384523794054985, 0.37464910470181256, -0.24681821530776402, -1.2034471837960556, 1762985130216195752, 
0.14327628910541534, -0.5693689584732056, -1.6214973422954662, 0.04045253307767329, 0.0, 0.3737368096513869, -0.25297199727297737, -1.1986809080639007, 1762985130326529645, 
0.14318117499351501, -0.5732564926147461, -1.6214973422954662, 0.03722214561015636, 0.0, 0.37719315191614755, -0.24555583385986876, -1.2044668704517887, 1762985130427143540, 
0.1427566558122635, -0.5800043940544128, -1.6214973422954662, 0.03768680585084584, 0.0, 0.3770848081818775, -0.2546021355468932, -1.206062535124529, 1762985130616210984, 
0.14284268021583557, -0.5834919214248657, -1.6214973422954662, 0.04056487617435565, 0.0, 0.3810196364798722, -0.2745189099100287, -1.1975013262468257, 1762985130706548589, 
